,0.1,0.5,1.0,1.5,2.0,5.0
50,365.13733863830566,568.8831806182861,506.5450668334961,403.49602699279785,601.4509201049805,447.0257759094238
100,533.1978797912598,354.28690910339355,798.9382743835449,387.4979019165039,759.9020004272461,613.767147064209
150,427.3097515106201,380.1612854003906,843.8284397125244,980.0875186920166,577.4414539337158,333.3854675292969
200,374.65953826904297,561.8424415588379,554.3308258056641,651.3259410858154,678.6677837371826,348.5846519470215
250,478.52373123168945,446.8991756439209,839.1213417053223,655.9445858001709,389.5378112792969,456.5281867980957
500,577.8117179870605,617.4435615539551,474.02286529541016,544.5184707641602,396.75450325012207,572.551965713501
