,0.1,0.5,1.0,1.5,2.0,5.0
50,573.4972953796387,399.77145195007324,116.23764038085938,114.33053016662598,165.00329971313477,336.77148818969727
100,427.64902114868164,168.47872734069824,429.31604385375977,338.9475345611572,226.4082431793213,344.8333740234375
150,285.42137145996094,533.8025093078613,99.8842716217041,154.1006565093994,514.7125720977783,256.37292861938477
200,525.2199172973633,449.87010955810547,447.07345962524414,582.2358131408691,473.9646911621094,150.26450157165527
250,433.09926986694336,615.9613132476807,240.04125595092773,223.2666015625,399.24097061157227,293.63083839416504
500,607.5260639190674,407.32383728027344,362.80202865600586,209.3360424041748,459.1810703277588,610.4555130004883
