,0.1,0.5,1.0,1.5,2.0,5.0
50,15.346288681030273,14.454841613769531,12.767314910888672,12.422323226928711,12.652873992919922,15.174150466918945
100,12.188434600830078,12.274742126464844,12.38703727722168,12.86458969116211,11.43193244934082,11.663198471069336
150,10.946512222290039,31.253337860107422,30.493497848510742,12.924671173095703,13.440132141113281,11.979103088378906
200,12.128114700317383,12.113571166992188,13.530731201171875,11.772632598876953,11.231660842895508,12.436389923095703
250,11.644601821899414,12.03465461730957,11.873245239257812,12.086153030395508,11.67607307434082,13.516426086425781
500,12.361764907836914,10.568618774414062,10.694742202758789,13.641834259033203,11.939287185668945,10.998010635375977
